date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country
0,285000.0,3.0,2.5,2090,10834,1.0,0,0,4,1360,730,1987,0,2419,14,2,0
0,615000.0,3.0,1.75,2360,7291,1.0,0,0,4,1360,1000,1948,0,4233,35,63,0
0,698000.0,4.0,2.25,2200,11250,1.5,0,0,5,1300,900,1920,0,106,19,21,0
0,790000.0,3.0,2.5,2600,4750,1.0,0,0,4,1700,900,1951,1999,2793,35,56,0
0,382500.0,4.0,1.75,1560,8700,1.0,0,0,4,1560,0,1967,0,820,19,22,0
0,499950.0,4.0,2.5,2860,3345,2.0,0,0,3,2190,670,2004,2003,1673,42,41,0
0,650000.0,4.0,2.0,1820,5000,1.5,0,1,3,1640,180,1945,2010,3921,35,54,0
0,625000.0,4.0,2.5,2820,8408,2.0,0,0,3,2820,0,2014,0,1295,36,67,0
0,440000.0,2.0,1.0,800,4850,1.0,0,0,4,800,0,1944,0,3402,35,50,0
0,287200.0,3.0,3.0,1850,19966,1.0,0,0,4,1090,760,1992,0,1954,21,23,0
0,403000.0,3.0,2.0,1960,13100,1.0,0,2,5,1650,310,1957,0,1399,26,68,0
0,750000.0,3.0,2.5,2390,6550,1.0,0,2,4,1440,950,1955,2009,2936,35,55,0
0,335000.0,3.0,2.25,1580,16215,1.0,0,0,4,1580,0,1978,2000,3291,13,14,0
0,260000.0,4.0,2.0,1480,8625,1.0,0,0,4,1480,0,1974,0,1684,32,33,0
0,308500.0,2.0,1.0,850,6174,1.0,0,0,4,850,0,1950,1983,440,36,67,0
0,439950.0,3.0,2.5,1770,2875,2.0,0,0,3,1770,0,1990,2009,3290,35,55,0
0,235000.0,2.0,1.0,1210,9400,1.0,0,0,2,1210,0,1949,0,4020,35,49,0
0,315000.0,3.0,1.0,1160,9180,1.0,0,0,3,1160,0,1968,1997,1101,42,44,0
0,407500.0,3.0,2.5,1930,10460,2.0,0,0,3,1930,0,1996,0,3227,32,37,0
0,445700.0,3.0,2.5,1270,1180,3.0,0,0,3,1270,0,2001,0,2307,35,50,0
0,805000.0,3.0,2.0,2710,4500,1.5,0,0,4,1880,830,1929,0,3731,35,54,0
0,284000.0,3.0,1.75,1800,23103,1.0,0,0,3,1800,0,1968,1997,2733,7,10,0
0,470000.0,5.0,2.5,2210,9655,1.0,0,0,3,1460,750,1976,0,1604,5,9,0
0,430000.0,4.0,1.5,1920,10000,1.0,0,0,4,1070,850,1954,1979,3114,3,5,0
0,785000.0,5.0,3.25,3660,11995,2.0,0,2,3,3660,0,2006,0,3986,38,38,0
0,385000.0,3.0,3.25,1320,1327,2.0,0,0,3,1040,280,2008,0,2820,35,74,0
0,295000.0,2.0,2.5,1630,1368,2.0,0,0,3,1280,350,2009,0,3666,35,49,0
0,555000.0,4.0,2.5,3310,6500,2.0,0,0,3,3310,0,2012,1912,2894,38,38,0
0,459990.0,3.0,2.5,2680,5539,2.0,0,0,3,2680,0,2013,1923,774,27,27,0
0,300000.0,3.0,2.5,2540,5050,2.0,0,0,3,2540,0,2006,0,2537,18,26,0
1,625000.0,4.0,2.75,2920,6605,2.0,0,0,3,2920,0,2012,1912,3615,32,37,0
1,553000.0,2.0,1.0,900,5000,1.0,0,0,3,900,0,1944,0,4135,35,56,0
1,379880.0,3.0,2.5,1650,14054,1.0,0,0,4,1130,520,1986,0,685,16,15,0
1,310000.0,3.0,1.0,1010,9945,1.0,0,0,4,1010,0,1973,0,4012,38,38,0
2,775000.0,2.0,2.5,2680,7392,1.0,0,0,3,2680,0,2004,2003,663,31,32,0
2,365000.0,3.0,2.5,2200,7350,1.0,0,0,5,1570,630,1988,0,719,32,36,0
2,331950.0,4.0,2.5,2530,9933,2.0,0,2,3,2010,520,1990,2009,4398,1,45,0
2,783500.0,3.0,2.5,2850,7130,2.0,0,0,3,1990,860,1980,0,1007,35,59,0
2,628000.0,4.0,2.0,2280,6010,1.0,0,0,3,1140,1140,1900,2005,1722,35,59,0
3,560000.0,3.0,2.5,1900,8744,2.0,0,0,3,1900,0,1987,2000,1895,33,42,0
3,531000.0,2.0,3.0,1270,1175,2.0,0,0,3,1110,160,2000,0,823,35,47,0
3,831000.0,4.0,3.0,2170,4000,2.0,0,0,4,1610,560,1982,2011,402,35,53,0
3,780000.0,4.0,2.5,2730,10281,2.0,0,2,3,2730,0,1996,0,1977,33,42,0
3,755000.0,4.0,2.5,2120,10202,1.0,0,0,4,1620,500,1960,2001,580,3,4,0
3,705380.0,3.0,2.5,2490,4343,2.0,0,0,3,2490,0,2003,0,2682,16,17,0
3,627000.0,4.0,2.25,1990,7712,1.0,0,0,3,1210,780,1973,2013,1533,16,15,0
3,865000.0,4.0,3.0,3690,9892,2.0,0,0,3,3690,0,1998,2006,1382,33,43,0
3,580000.0,2.0,1.0,2540,7000,1.0,0,0,5,1320,1220,1942,0,4275,35,57,0
3,485000.0,4.0,3.0,2340,7048,1.0,0,0,4,1340,1000,1979,0,882,19,22,0
3,400000.0,2.0,1.75,2110,9519,1.0,0,0,2,2110,0,1948,0,1786,36,67,0
3,549000.0,2.0,1.0,1140,5400,1.0,0,0,5,1140,0,1908,0,1757,35,53,0
3,620000.0,3.0,1.75,1480,2185,2.5,0,0,3,1480,0,2005,0,132,19,21,0
3,405000.0,2.0,3.0,1410,1240,2.0,0,0,3,1140,270,2006,0,4359,35,63,0
3,232000.0,2.0,1.0,1200,8063,1.0,0,0,4,1200,0,1958,1972,1692,10,73,0
3,800866.0,5.0,2.5,3180,13806,2.0,0,0,4,3180,0,1990,0,383,19,21,0
3,650000.0,3.0,1.5,2160,9000,1.0,0,2,4,1400,760,1949,1985,644,35,70,0
3,770000.0,3.0,2.0,2350,5700,1.5,0,0,4,1810,540,1939,1989,1850,35,53,0
3,524000.0,3.0,1.75,1560,5520,1.0,0,0,4,780,780,1944,0,2851,35,74,0
3,541125.0,5.0,2.75,2740,8426,1.0,0,0,4,1370,1370,1960,2001,3517,3,5,0
3,670000.0,3.0,2.5,1680,2000,3.0,0,0,3,1680,0,1909,1998,2880,35,48,0
3,384900.0,5.0,2.5,3090,12750,1.0,0,0,3,1750,1340,1968,1997,301,14,13,0
3,406100.0,3.0,2.25,1410,1332,3.0,0,0,3,1410,0,2005,0,4256,35,47,0
3,1395000.0,5.0,3.5,4010,8510,2.0,0,1,5,2850,1160,1971,0,3058,35,48,0
3,736500.0,4.0,2.5,3180,21904,2.0,0,3,3,3180,0,2000,0,1317,32,37,0
3,570000.0,3.0,2.25,2010,6000,1.0,0,0,3,1330,680,1975,0,66,31,31,0
3,787000.0,3.0,1.75,1330,7500,1.0,0,0,3,1330,0,1961,2004,1854,3,3,0
3,328000.0,4.0,2.5,2370,6500,2.0,0,0,3,2370,0,1998,2006,571,1,45,0
3,435000.0,5.0,2.0,1840,9240,1.0,0,0,4,1540,300,1942,1958,800,35,62,0
3,499000.0,4.0,2.5,2910,6479,2.0,0,0,3,2910,0,2006,0,2823,38,38,0
3,501000.0,4.0,1.0,2070,7519,1.0,0,0,3,1160,910,1963,2008,2180,3,7,0
3,400000.0,2.0,1.0,840,5510,1.0,0,0,3,840,0,1955,2005,3309,35,63,0
3,220000.0,4.0,1.5,1240,9600,1.0,0,0,3,1240,0,1971,0,3433,14,13,0
3,657100.0,4.0,1.0,1390,4240,1.0,0,0,3,1050,340,1924,2011,3224,35,47,0
3,309950.0,4.0,2.75,2310,5000,2.0,0,0,3,2310,0,2006,0,1943,21,23,0
3,300000.0,3.0,2.0,1050,10072,1.0,0,0,3,1050,0,1986,0,2363,11,11,0
3,740000.0,4.0,1.75,2010,3600,1.5,0,0,3,2010,0,1902,0,51,35,58,0
3,340000.0,5.0,1.0,1120,9022,1.5,0,0,4,1120,0,1962,0,835,19,22,0
3,398750.0,3.0,2.5,2230,4000,2.0,0,0,3,2230,0,1954,2005,2263,35,64,0
3,206000.0,2.0,1.0,810,7158,1.0,0,0,5,810,0,1944,0,603,6,69,0
3,1030000.0,5.0,2.75,3190,16920,1.0,0,3,3,1690,1500,1976,0,3320,3,5,0
3,379950.0,4.0,1.75,1970,9389,1.0,0,0,5,1140,830,1960,0,1278,36,62,0
3,287000.0,3.0,1.0,1450,6000,1.0,0,0,4,1450,0,1953,1983,4281,35,57,0
3,309950.0,3.0,2.5,1880,7838,2.0,0,0,3,1880,0,1994,0,1385,32,33,0
3,600000.0,3.0,1.75,1880,6360,1.0,0,0,4,1040,840,1945,0,4127,35,54,0
3,418000.0,3.0,2.0,1410,6030,1.5,0,0,4,1410,0,1930,0,4328,35,47,0
3,449250.0,4.0,2.0,1480,3844,1.5,0,0,5,1480,0,1928,1970,3508,35,62,0
3,329950.0,2.0,1.0,1140,5250,1.5,0,0,4,1140,0,1949,1985,803,35,62,0
3,245000.0,3.0,1.75,1920,9306,1.0,0,0,3,1000,920,1984,0,2547,1,0,0
3,549000.0,4.0,2.5,2910,6338,2.0,0,0,3,2910,0,2008,0,1138,32,37,0
3,800000.0,3.0,2.5,3240,7857,2.0,0,0,3,3240,0,1994,0,1928,33,43,0
3,249950.0,3.0,2.0,1550,15040,1.0,0,0,4,1550,0,1958,1972,1416,32,37,0
3,210000.0,5.0,2.0,2050,10200,1.0,0,0,3,1430,620,1956,2001,1760,10,73,0
3,1425000.0,2.0,2.5,2220,4000,2.0,0,0,3,2220,0,2000,0,1497,35,53,0
3,585000.0,2.0,1.0,1770,8640,1.5,0,0,3,1520,250,1949,1998,2901,35,56,0
3,615000.0,4.0,1.75,2300,11700,1.0,0,0,4,1960,340,1977,0,1480,31,31,0
3,618500.0,3.0,2.0,1800,5000,1.0,0,0,4,1080,720,1942,1982,2435,35,54,0
3,487585.0,4.0,1.75,2010,9211,1.0,0,0,3,1470,540,1977,2004,696,19,22,0
3,509900.0,3.0,2.5,1790,2700,2.0,0,0,3,1790,0,2010,0,3328,16,15,0
3,631625.0,4.0,2.5,2440,6651,2.0,0,0,3,2440,0,2014,0,4402,35,56,0
3,555000.0,3.0,2.5,1940,3211,2.0,0,0,3,1940,0,2009,0,3304,16,15,0
3,340000.0,2.0,1.5,1160,1438,2.0,0,0,3,1160,0,2001,0,669,35,64,0
3,830000.0,4.0,2.5,3400,9692,2.0,0,0,3,3400,0,2007,0,406,31,31,0
3,890000.0,4.0,4.25,4420,5750,2.0,0,0,3,3410,1010,2006,0,4227,16,15,0
3,366750.0,3.0,3.0,1571,2017,3.0,0,0,3,1571,0,2008,0,891,35,60,0
3,415000.0,3.0,2.25,1620,998,2.5,0,0,3,1540,80,2010,0,4421,16,17,0
3,416286.0,3.0,2.5,1408,989,3.0,0,0,3,1408,0,2005,0,4078,35,54,0
3,478000.0,3.0,2.5,3040,4535,2.0,0,0,3,3040,0,2007,0,1700,32,34,0
3,890000.0,5.0,3.5,4490,6000,2.0,0,0,3,3200,1290,2006,0,4092,16,15,0
3,419190.0,2.0,2.5,1590,1426,2.0,0,0,3,1590,0,2014,0,598,16,17,0
3,712198.0,4.0,2.5,2450,4247,2.0,0,0,3,2450,0,2013,1923,1313,31,31,0
4,397000.0,4.0,2.0,1440,7680,1.0,0,0,3,1200,240,1971,0,147,19,22,0
4,450000.0,2.0,2.0,1100,3000,1.5,0,0,3,1100,0,1912,2005,3144,35,56,0
4,353000.0,3.0,1.0,1350,7740,1.0,0,0,4,860,490,1947,1988,233,35,60,0
4,234000.0,3.0,1.75,1490,8366,1.0,0,0,4,1010,480,1975,0,2207,9,26,0
4,561000.0,3.0,2.0,2000,7000,2.0,0,0,3,2000,0,1916,1986,3769,35,63,0
4,469000.0,2.0,1.0,1030,4400,1.0,0,0,3,1030,0,1924,2011,2628,35,56,0
4,329350.0,2.0,1.0,720,6687,1.0,0,0,3,720,0,1942,1999,4469,35,56,0
4,488000.0,5.0,2.0,2020,5000,1.5,0,0,4,2020,0,1938,0,4333,35,56,0
4,279900.0,3.0,1.75,1580,8151,1.0,0,1,4,1100,480,1962,0,1184,10,73,0
4,606000.0,4.0,2.5,2110,13850,2.0,0,0,3,2110,0,1987,2000,2405,16,15,0
4,312000.0,4.0,2.0,1300,7054,1.0,0,0,3,1300,0,1950,2013,2449,35,65,0
4,650000.0,3.0,1.5,1630,7475,1.0,0,1,3,1160,470,1940,1996,3677,35,54,0
4,1135000.0,4.0,2.75,3370,8103,1.0,0,3,3,1970,1400,1970,2014,3054,35,63,0
4,325000.0,4.0,2.5,1890,6156,1.0,0,0,3,980,910,1980,0,3627,35,49,0
4,425000.0,4.0,2.0,1520,7983,1.0,0,0,5,1520,0,1967,0,961,15,22,0
4,219000.0,2.0,1.0,900,5160,1.0,0,0,3,900,0,1952,2008,4279,35,49,0
4,250000.0,3.0,1.0,1050,6874,1.0,0,0,3,1050,0,1954,2005,1466,36,62,0
4,390000.0,3.0,1.75,1260,6500,1.0,0,0,4,1260,0,1966,0,833,3,7,0
4,736000.0,4.0,2.5,2290,12047,2.0,0,0,4,2290,0,1988,0,1361,3,5,0
4,407000.0,4.0,2.25,2810,23400,1.0,0,1,3,1710,1100,1958,2004,1957,10,73,0
4,272000.0,3.0,2.5,1650,13816,2.0,0,0,3,1650,0,1998,2006,2692,7,10,0
4,362000.0,3.0,2.25,1640,14374,1.0,0,0,4,1140,500,1963,0,1341,6,66,0
4,535000.0,3.0,2.5,1850,10109,2.0,0,0,3,1850,0,1991,0,4224,19,22,0
4,284000.0,4.0,2.5,2000,5390,2.0,0,0,3,2000,0,2003,0,2219,18,26,0
4,367500.0,3.0,1.5,1410,9647,1.0,0,0,3,1410,0,1961,2004,1420,36,70,0
4,379900.0,4.0,1.75,1500,11600,1.0,0,0,4,1000,500,1955,2009,983,17,16,0
4,175000.0,3.0,1.0,1010,7034,1.0,0,0,3,1010,0,1954,2005,1744,32,35,0
4,460000.0,2.0,2.25,1230,929,2.0,0,0,3,1020,210,2004,2003,3,35,53,0
4,345000.0,4.0,2.5,2331,3826,2.0,0,0,3,2331,0,2007,0,392,32,36,0
4,455000.0,5.0,2.5,2240,7770,1.0,0,0,3,1340,900,1978,0,577,19,22,0
4,610000.0,4.0,3.0,2450,10117,1.0,0,0,5,1580,870,1967,0,1076,3,5,0
4,563000.0,4.0,3.0,3100,15480,2.0,0,0,3,2400,700,1996,0,3984,17,16,0
4,612500.0,4.0,2.0,2060,5000,1.0,0,0,3,1030,1030,1949,2013,1301,35,56,0
4,218000.0,3.0,1.75,1850,7684,1.0,0,0,3,1320,530,1979,2014,2819,14,13,0
4,404000.0,4.0,1.75,1840,10720,1.0,0,0,3,960,880,1958,2004,1133,3,7,0
4,136500.0,3.0,1.5,1420,8580,1.0,0,0,3,1420,0,1962,2003,2762,14,13,0
4,313950.0,3.0,1.0,1510,6083,1.0,0,0,4,860,650,1940,2001,3159,35,54,0
4,575000.0,3.0,1.75,2130,6500,1.0,0,2,3,1170,960,1954,2005,1887,35,74,0
4,1225000.0,4.0,2.25,3490,6906,2.0,0,0,4,2280,1210,1928,0,2235,35,74,0
4,280000.0,3.0,1.75,1630,11800,1.0,0,0,4,1630,0,1971,0,554,27,27,0
4,515000.0,3.0,2.5,1790,7167,2.0,0,0,3,1790,0,1989,0,4370,33,42,0
4,513000.0,4.0,2.5,2000,5684,2.0,0,0,3,2000,0,1996,0,4344,17,16,0
4,685000.0,4.0,2.5,3030,7864,2.0,0,0,3,3030,0,1999,0,2090,33,42,0
4,365000.0,3.0,1.5,1310,8160,1.0,0,0,3,1310,0,1950,2005,764,35,62,0
4,762300.0,4.0,2.5,3880,14550,2.0,0,0,3,3880,0,1987,2000,1898,33,42,0
4,1580000.0,4.0,3.25,3760,10920,1.5,0,0,5,2400,1360,1950,0,3633,35,48,0
4,562000.0,5.0,2.25,3040,8111,2.0,0,0,3,3040,0,1984,0,1381,31,31,0
4,530000.0,5.0,2.5,2910,9636,1.0,0,0,4,1690,1220,1964,0,2740,3,7,0
4,525000.0,3.0,2.5,2970,11985,1.0,0,0,3,1770,1200,1995,0,1837,33,42,0
4,484000.0,2.0,1.75,1660,6000,1.0,0,0,3,1160,500,1942,1999,3377,35,48,0
4,725126.0,4.0,2.5,3200,12369,2.0,0,0,3,3200,0,1998,2006,934,25,37,0
4,360000.0,4.0,2.0,2680,18768,1.0,0,0,5,2680,0,1965,0,2668,1,0,0
4,387000.0,3.0,1.0,1230,9568,1.0,0,0,5,1230,0,1962,0,449,25,34,0
4,655500.0,4.0,3.5,3380,8330,2.0,0,0,3,3380,0,2000,0,1288,36,70,0
4,345000.0,3.0,1.0,1110,6250,1.0,0,0,3,1110,0,1956,2001,2727,35,54,0
4,533000.0,5.0,2.75,1800,3780,1.5,0,0,3,1400,400,1926,2003,3990,35,47,0
4,385000.0,3.0,1.75,1900,5520,1.0,0,0,3,1280,620,1982,0,3520,35,57,0
4,197000.0,3.0,1.75,1690,7735,1.0,0,0,4,1060,630,1976,1992,2553,1,0,0
4,485000.0,3.0,2.0,1420,4080,1.5,0,0,3,1420,0,1905,2013,3919,35,47,0
4,1870000.0,5.0,4.0,4510,15175,2.0,0,0,3,4510,0,1969,2002,4201,23,25,0
4,295000.0,3.0,2.25,1980,8000,1.0,0,0,4,1560,420,1974,0,2687,14,13,0
4,499000.0,2.0,1.75,1170,2400,1.0,0,0,4,740,430,1903,0,1780,35,47,0
4,1050000.0,3.0,2.5,2200,1970,2.0,0,0,3,1610,590,2008,0,2190,35,46,0
4,191000.0,3.0,1.5,800,8850,1.0,0,0,4,800,0,1959,0,20,14,13,0
4,500000.0,3.0,2.5,1480,1171,3.0,0,0,3,1480,0,2006,0,727,35,53,0
4,390000.0,5.0,3.75,2890,5000,1.0,0,0,3,1310,1580,2006,0,2955,35,64,0
4,979000.0,3.0,2.5,2690,4047,3.0,0,0,3,2690,0,2014,0,3870,35,56,0
4,580000.0,4.0,3.25,3569,8327,2.0,0,0,3,3569,0,2013,1923,3900,32,33,0
4,369950.0,3.0,2.0,1270,1320,3.0,0,0,3,1270,0,2006,0,4306,35,47,0
4,1800000.0,5.0,5.0,4490,10279,2.0,0,0,3,3930,560,2013,1923,890,3,3,0
4,776000.0,4.0,2.5,3040,6425,2.0,0,0,3,3040,0,2008,0,1254,31,31,0
5,519950.0,3.0,2.25,1170,1249,3.0,0,0,3,1170,0,2014,0,1367,35,50,0
5,255000.0,5.0,2.25,2060,8632,1.0,0,0,3,1030,1030,1962,2003,127,6,65,0
5,495000.0,3.0,1.0,990,6000,1.0,0,0,3,990,0,1943,2002,3626,35,48,0
5,510000.0,4.0,2.5,2430,5203,2.0,0,0,3,2430,0,2003,0,86,36,67,0
5,253000.0,3.0,1.75,1250,10122,1.0,0,0,3,1250,0,1994,0,2225,4,8,0
5,503000.0,3.0,2.75,1540,6760,1.0,0,0,5,1210,330,1980,0,4462,19,22,0
5,275000.0,3.0,2.5,1600,7000,2.0,0,0,4,1600,0,1993,0,1798,21,23,0
5,249000.0,3.0,1.0,1110,8423,1.0,0,0,3,1110,0,1952,2008,927,6,68,0
5,310000.0,3.0,1.75,1840,10723,1.0,0,0,4,1220,620,1974,0,1602,32,36,0
5,750000.0,3.0,2.75,2520,5401,1.0,0,0,4,1360,1160,1946,1989,2438,35,58,0
5,758000.0,4.0,2.75,2410,9549,1.0,0,0,4,1780,630,1956,0,157,19,21,0
5,248500.0,4.0,1.75,1720,10018,1.0,0,0,5,1720,0,1960,0,1233,9,26,0
5,460000.0,3.0,2.0,1760,9055,2.0,0,0,4,1760,0,1985,0,3444,31,31,0
5,675000.0,3.0,1.75,1680,10500,1.0,0,0,4,1680,0,1959,0,3068,3,4,0
5,526000.0,2.0,2.0,1550,2400,1.5,0,0,4,1550,0,1900,1971,3030,35,47,0
5,415000.0,4.0,3.0,1830,9548,2.0,0,0,3,1830,0,1991,0,1023,5,16,0
5,246000.0,3.0,1.0,1400,7410,1.0,0,0,3,1400,0,1944,0,3735,6,68,0
5,314500.0,3.0,1.75,1870,12381,1.0,0,0,4,1870,0,1957,2001,2530,14,2,0
5,420000.0,2.0,1.5,1040,3500,1.5,0,0,4,1040,0,1904,0,1316,35,64,0
5,350000.0,3.0,1.0,1010,9360,1.0,0,0,3,1010,0,1981,2013,4468,19,21,0
5,515000.0,3.0,1.75,1580,9147,1.0,0,1,4,1210,370,1967,0,2005,3,7,0
5,749950.0,4.0,2.75,2600,6050,2.0,0,0,5,1960,640,1949,0,3154,35,55,0
5,230000.0,3.0,2.5,1920,9180,2.0,0,0,3,1920,0,1988,2000,1732,32,35,0
5,568000.0,3.0,2.0,2350,5080,1.5,0,0,3,1780,570,1929,0,3598,35,57,0
5,581000.0,4.0,2.0,2510,13695,1.0,0,0,4,1280,1230,1961,2001,250,19,21,0
5,500000.0,2.0,1.0,1010,3885,1.5,0,0,4,1010,0,1906,1990,2788,35,53,0
5,475000.0,2.0,1.0,820,2723,1.0,0,0,3,820,0,1921,2000,3345,35,47,0
5,352000.0,5.0,2.5,2420,8560,1.0,0,2,3,1620,800,1978,0,2980,35,57,0
5,420000.0,3.0,2.25,1770,8165,2.0,0,0,3,1770,0,1977,2004,621,19,22,0
5,428000.0,2.0,2.0,1350,3900,1.0,0,0,3,1350,0,2003,0,1994,31,32,0
5,599000.0,3.0,1.75,1960,4788,1.0,0,0,4,1090,870,1920,0,3739,35,54,0
5,492000.0,4.0,2.5,3305,16164,1.5,0,0,5,2245,1060,1922,1956,1327,36,62,0
5,630000.0,2.0,2.25,2550,5663,1.0,0,0,3,1720,830,2011,0,491,32,34,0
5,1110000.0,4.0,1.5,2310,13300,1.0,0,0,3,1890,420,1950,2005,4476,8,3,0
5,575000.0,4.0,2.0,1650,5000,1.0,0,0,3,1650,0,1955,2005,3821,35,56,0
5,705000.0,4.0,2.5,2650,4316,1.5,0,0,3,1520,1130,1905,2013,1548,35,55,0
5,940000.0,4.0,2.25,1890,5940,1.0,0,1,3,1470,420,1963,2008,505,35,53,0
5,313000.0,3.0,1.75,2190,8000,1.0,0,0,4,2190,0,1967,0,2747,14,13,0
5,618080.0,3.0,2.5,2030,6500,2.0,0,0,3,2030,0,1988,2000,3270,16,15,0
5,640000.0,3.0,3.0,2270,5175,2.0,0,0,3,2130,140,2002,0,404,32,34,0
5,485000.0,3.0,2.0,1610,4160,1.0,0,0,4,1010,600,1917,0,3226,35,63,0
5,300000.0,2.0,1.0,760,3001,1.0,0,0,3,760,0,1913,1983,1376,35,64,0
5,379500.0,2.0,1.0,1640,17335,1.0,0,0,3,840,800,1978,0,2776,31,32,0
5,339950.0,3.0,2.25,1630,12295,2.0,0,0,4,1630,0,1985,0,1615,32,36,0
5,1340000.0,3.0,3.0,2960,5500,2.0,0,2,3,2440,520,1937,1990,2898,35,74,0
5,239900.0,3.0,2.0,1410,7566,1.0,0,0,3,1410,0,1985,0,395,18,18,0
5,314950.0,3.0,1.0,1040,16986,1.0,0,0,4,1040,0,1968,0,1458,32,37,0
5,361280.0,2.0,1.0,820,6400,1.0,0,0,4,820,0,1944,0,3655,35,61,0
5,100000.0,2.0,1.0,910,22000,1.0,0,0,3,910,0,1956,2001,773,0,0,0
5,480500.0,4.0,2.5,2180,11200,1.0,0,0,4,2180,0,1968,0,1531,42,41,0
5,280000.0,3.0,2.5,1600,4271,2.0,0,0,3,1600,0,2000,0,3497,1,0,0
5,440000.0,3.0,1.75,1500,6180,1.0,0,0,4,1060,440,1947,1988,3022,35,57,0
5,530000.0,3.0,1.0,1340,4284,1.0,0,0,3,1080,260,1910,2006,3372,35,48,0
5,560000.0,3.0,2.0,1860,13374,1.0,0,0,3,1860,0,1985,0,40,16,15,0
5,775000.0,3.0,2.0,2540,7200,1.5,0,3,4,1600,940,1905,0,3505,35,64,0
5,160000.0,2.0,1.0,1040,13100,1.0,0,0,5,1040,0,1912,0,3960,18,20,0
5,209950.0,3.0,1.5,1380,11130,1.0,0,0,3,1380,0,1960,2012,2693,14,2,0
5,226500.0,3.0,1.75,1640,10762,1.0,0,0,3,1130,510,1988,2000,2351,9,26,0
5,380000.0,5.0,1.75,3000,6000,1.0,0,0,5,1500,1500,1958,0,4243,35,71,0
5,409500.0,4.0,2.75,2140,13000,1.0,0,0,3,1320,820,1968,1997,1597,17,16,0
5,690000.0,3.0,2.0,1760,6428,1.0,0,0,4,980,780,1942,1982,1815,35,74,0
5,405000.0,3.0,2.25,1660,8307,1.0,0,0,4,1660,0,1961,2001,3692,36,62,0
5,375000.0,3.0,2.5,1830,13042,2.0,0,0,3,1830,0,1990,2009,2215,21,23,0
5,794154.0,4.0,2.0,2210,8556,1.0,0,1,4,1210,1000,1954,1979,2728,35,74,0
5,185000.0,4.0,1.0,1490,6600,1.0,0,0,3,1490,0,1969,2010,684,6,69,0
5,245000.0,3.0,1.5,1260,1270,2.0,0,0,3,1040,220,2005,0,294,35,62,0
5,1532500.0,5.0,4.5,4270,8076,2.0,0,0,3,3400,870,2007,0,220,19,21,0
5,1040000.0,4.0,3.5,3900,8391,2.0,0,0,3,3900,0,2006,0,205,19,21,0
5,425000.0,2.0,2.5,1150,1027,3.0,0,0,3,1150,0,2008,0,2938,35,47,0
5,495000.0,4.0,2.75,2656,21195,2.0,0,0,3,2656,0,2014,0,2683,1,0,0
5,365000.0,5.0,2.75,2410,5003,1.0,0,0,3,1410,1000,2008,0,4102,35,57,0
